STROKE COUNT;RADICAL;VARIANT;ENGLISH;JYUTPING;Yale;ALSO CALLED
;足;⻊;foot;zuk1;jūk;
;身;;body;san1;sān;
;車;;cart, car;ce1;chē;
;辛;;bitter;san1;sān;
;辰;;morning;san4;sàhn;
;辵;辶 ⻍ ⻎;walk;coek3;cheuk;艇仔邊(teng5 zai2 bin1)撐艇仔(caang1 teng5 zai2)
;邑;;city\\\cfont{阝} (rhs);jap1;yāp;耳仔邊(ji5 zai2 bin1)
;酉;;alcohol, wine;jau5;yáuh;
;釆;;dis\-tin\-guish;bin6;bihn;
;里;;village, li=668.7m;lei5;léih;
8;金;;gold, metal \cfont{釒};gam1;gām;
;長;镸;long;coeng4;chèuhng;
;門;;gate, door;mun4;mùhn;
;阜;;mound, dam \cfont{⻖};fau6;fauh;耳仔邊(ji5 zai2 bin1)
;隶;;slave;dai6;daih;
;隹;;short-tailed bird;zeoi1;jēui;
;雨;⻗;rain;jyu5;yúh;
;青;靑;blue;cing1;chīng;
;非;;wrong;fei1;fēi;
9;面;;face;min6;mihn;
;革;;leather, rawhide;gaak3;gaak;
;韋;;tanned leather;wai5;wáih;
;韭;;leek;gau2;gáu;
;音;;sound;jam1;yām;
;頁;;page, head;jip6;yihp;
;風;;wind;fung1;fūng;
;飛;;flying;fei1;fēi;
;食;飠;eat, food;sik6;sihk;
;首;;head;sau2;sáu;
;香;;fragrant;hoeng1;hēung;
10;馬;;horse;maa5;máh;
;骨;;bone;gwat1;gwāt;
;高;;tall;gou1;gōu;
;髟;;hair;biu1;bīu;
;鬥;;fight;dau3;dau;
;鬯;;sacri\-fi\-cial wine;coeng3;cheung;
;鬲;;cauldron, tripod;gaak3;gaak;
;鬼;;ghost, demon;gwai2;gwái;
11;魚;;fish;jyu4;yùh;
;鳥;;bird;niu5;níuh;
;鹵;;salty;lou5;lóuh;
;鹿;;deer;luk6;luhk;
;麥;;wheat;mak6;mahk;
;麻;;hemp, flax;maa4;màh;
;黄;;yellow;wong4;wòhng;
12;黍;;millet;syu2;syú;
;黑;;black;haak1;hāak;
;黹;;embroi\-dery;zi2;jí;
;黽;;frog, amphibian;maang5;máahng;
;鼎;;tripod;ding2;díng;
13;鼓;;drum;gu2;gú;
;鼠;;rat, mouse;syu2;syú;
14;鼻;;nose;bei6;beih;
;齊;;even, uniformly;cai4;chàih;
15;齒;;teeth;ci2;chí;
16;龍;;dragon;lung4;lùhng;
;龜;;turtle;gwai1;gwāi;
17;龠;;flute;joek6;yeuhk;
